beam	n. Syn. rafter; brace	(光束,铁梁,木梁,一束电波) ray of light; long piece of metal or wood; long piece fixed or movable in structure, machine, or tool
bean	n.	(豆子) various edible seeds; small oval or roundish seed, berry, nut, or lump
bear	v. Syn. support; sustain	(负担,支撑) support; sustain; carry; have; yield; give birth; hold up or support
bearing	n.	(耐心应对,分娩) carrying another part; patient endurance; suffering without complaint; act of producing or giving birth
beat	v. Syn. whip; strike; defeat	(打击,敲击,打败) whip; strike; defeat; hit repeatedly
become	v.	(变为,成为,适合,相称,遭遇,发生) suit or be suitable to; be worthy of, or proper for; cause to appear well; grow or come to be
beforehand	ad. Syn. previously; aforetime	(预先,过早,匆忙) in state of anticipation; in advance; by way of preparation
behalf	n. Syn. represent	(代表) represent; advantage, benefit, interest of someone
behave	v. Syn. perform; behave oneself	(举止,表现) perform; conduct oneself in a proper way
behavior	n. Syn. conduct; manner	(举止,行为) conduct; manner
belly	n.	(腹部,腹状物) part of human body which extends downward from breast to thighs, and contains bowels; womb
beloved	a.	(深爱的,钟爱的) greatly loved; dear to the heart
below	ad. Syn. beneath; under	(在…下面) under, or lower in place; beneath not so high; inferior to in rank; unworthy of
bend	v.	(弯曲,倾,使倾,专心于,屈服,顺从) strain or move out of a straight line; curve; turn toward some certain point
beneath	ad. Syn. below; under	(在…之下) lower in place, with something directly over or on; under; underneath; below
beneficial	a. Syn. helpful; useful	(有用的) helpful; tending to promote physical well-being
beneficiary	n.	(（遗产）受益人) person entitled to benefits or proceeds of an insurance policy or will
benefit	n. Syn. welfare; gain	(利益,好处) advantage; something that aids or promotes well-being ; welfare; gain
benevolent	a. Syn. generous; charitable	(慈善的) generous in providing aid to others; charitable
bent	a.	(一门心思的,先天的) determined to do or have
besides	ad.	(除了,还有) over and above; separate or distinct from; in addition to; other than
bestow	v. Syn. present	(给予) give as gift; present
bet	n.	(打赌,打赌,赌注,赌金) stake or pledge upon the event of a contingent issue; amount or object risked in a wager
betray	v. Syn. reveal	(出卖,背叛) be unfaithful; reveal unconsciously or unwillingly
beverage	n. Syn. refreshment	((除水之外的)饮料) liquids for drinking, usually excluding water; refreshment
bewilder	v. Syn. confuse	(使迷惑,使昏乱) lead into perplexity or confusion; perplex with mazes
bias	n. Syn. prejudice; preference	(偏见,偏好) preference or inclination, especially one that inhibits impartial judgment; influence in unfair way
bid	v.	(出价,投标,(打牌时)叫牌) make an offer of; propose; offer in words; declare, as a wish, a greeting, a threat, or defiance
bill	n. Syn. invoice	(帐单,发票) invoice; act; proposal; statement or list of particulars, such as a theater program or menu
billion	n.	(十亿(的)) the number that is represented as a one followed by 9 zeros
bind	v. Syn. contract; cohere; stick	(缚,绑,装订,使应当,联合) tie, or confine with a cord, band, or chain; make fast; contract; cohere or stick together
biographer	n.	(传记作家) one who writes a book about somebody's life
biography	n.	(传记) an account of the series of events making up a person's life; accounts of people's life
biologist	n.	(生物学家) scientist who studies living organisms
bite	v.	(咬,(虫)叮,(鱼)咬饵) pierce skin with teeth; seize with the teeth; sting with a stinger; eat into; have a sharp taste
bitter	a. Syn. painful; acrid; acrimonious	(苦(味)的) harsh or corrosive in tone; painful; acrid; acrimonious
bitterness	n.	(苦味,辛酸,苦难) sharp and bitter manner
blacksmith	n.	(铁匠) one who forges and shapes iron with a hammer and anvil
blade	n.	(刀锋,刀口) flat part of the leaf, of any plant, especially of gramineous plants; cutting part of an instrument
blame	v. Syn. condemn; rebuke	(谴责,责备) condemn; rebuke; find fault with; censure
blank	a.	(空白的,无表情的,漠然的,无兴趣的) of a white or pale color; without color; empty; void
blanket	n.	(毯子,厚的遮盖物) heavy, loosely woven fabric, usually of wool, and having a nap, used in bed clothing
blast	n. Syn. explode; burst	(爆破) explode; burst; gale; very strong gust of wind or air
blaze	n. Syn. flame	(燃烧,照耀) brilliant burst of fire; destructive fire; flame
bleach	v. Syn. whiten; blanch	(去色,漂白) make white or colorless; blanch
bleed	v.	(流血,(指内心)悲痛,放血,取血) emit blood; lose blood; withdraw blood from the body
blend	n. Syn. combination; mixture	(混合,掺混) combination; mixture; forming uniform mixture
bless	v.	(祝福,颂扬) make or pronounce holy; consecrate; make happy
blessing	n. Syn. boon; benediction	(祝福,恩赐) praying for divine protection; formal act of giving approval
blink	v. Syn. wink	(眨眼) shut eyes briefly; wink
block	v. Syn. chunk	(阻止,阻碍) hinder; obstruct; indicate broadly without great detail; sketch
bloom	n. Syn. flower; blossom	(花,开花) flower; blossom; best time of youth; period of greatest prosperity or productivity
blossom	n.	(花蕾) reproductive organ of plants, especially one having showy or colorful parts
blot	n.	(污斑,污迹,污渍,(品行上的)污点) spot or stain, as of ink on paper; blur; weak point or failing
blunder	n. Syn. error	(严重错误) serious mistake typically caused by ignorance or confusion
blunt	a. Syn. insensitive	(钝的,直率的,不客气的,使变钝) having a dull edge or end; not sharp; lacking in feeling; insensitive
blush	v.	(脸红,羞愧) become rosy or reddish; turn red, as if in embarrassment or shame
board	n. Syn. lumber; plank	(委员会,(薄而平的)木板) a committee having supervisory powers; a flat piece of material designed for a special purpose
boarding	n.	(供膳宿的,上飞机(或轮船)的,(由几块木板拼成的)大木板) wooden boards collectively; act of entering a ship; supplying with meals and lodgings for pay
boast	v. Syn. brag; vaunt	(自夸,自豪) show off oneself; speak of with excessive pride
bodyguard	n.	(保镖,侍卫) guard to protect or defend person; lifeguard
boil	v.	(煮沸,煮,使人怒气冲天) be agitated; pass from a liquid to vapor when heated; be excited with passion; heat in water
bold	a. Syn. brave; daring; intrepid; impudent	(勇敢的,大胆的,放肆无礼的) brave; daring; intrepid; impudent
bolt	v. Syn. dash	(冲刺,快速移动) dash or dart off; move or jump suddenly
bond	n. Syn. link; tie; connection	(联结,联系,粘连,化学键 v 结合) link; connection; uniting force or tie; binding agreement; duty
bonus	n.	(红利,奖金,额外津贴,意外收获) an extra dividend to the shareholders; money paid in addition to a stated compensation
bookcase	n.	(书架) case with shelves for holding books, especially one with glazed doors
boom	n. Syn. bonanza; prosperity	(繁荣) bonanza; prosperity; prosper; expand; flourish
booming	a.	(快速增长的,欣欣向荣) deep and resonant; flourishing; thriving
boost	v. Syn. raise; advance	(增加,提高,促进) raise; advance; push or shove upward
